year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2016	12242	1	14927	Belmont	-	Totals	-	-	-	12	11.00	35.00	203	176	""	6	""	""	""	102,585	29	1.527	96.00	0.768	3	""	""	2	64	""	""	4
2016	12242	1	14927	Belmont	-	Opponent Totals	-	-	-	29	30.00	88.00	251	151	""	6	""	""	""	102,585	12	0.632	80.00	0.870	8	""	""	""	105	""	""	12
2016	12242	1	62	Binghamton	-	TEAM	-	-	-	""	""	0.00	""	130	""	""	""	2	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	62	Binghamton	-	Totals	-	-	-	10	4.00	24.00	188	130	""	2	""	""	""	94,200	32	1.834	113.00	0.779	3	""	""	""	40	1	1	3
2016	12242	1	62	Binghamton	-	Opponent Totals	-	-	-	32	24.00	88.00	287	153	""	5	""	""	""	94,200	10	0.573	90.00	0.900	9	""	""	1	73	3	3	12
2016	12242	1	66	Boise St.	-	TEAM	-	-	-	""	""	0.00	""	105	""	""	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	66	Boise St.	-	Totals	-	-	-	24	15.00	63.00	256	203	""	13	""	""	""	114,954	29	1.362	75.00	0.721	4	""	""	""	80	1	2	7
2016	12242	1	66	Boise St.	-	Opponent Totals	-	-	-	29	19.00	77.00	233	201	1	9	""	""	""	114,954	24	1.127	79.00	0.767	5	""	""	""	95	3	4	9
2016	12242	1	67	Boston College	-	TEAM	-	-	-	""	""	0.00	""	173	""	""	""	1	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	67	Boston College	-	Totals	-	-	-	38	25.00	101.00	261	174	1	13	""	""	""	111,946	32	1.544	113.00	0.779	6	""	""	""	80	6	6	11
2016	12242	1	67	Boston College	-	Opponent Totals	-	-	-	32	29.00	93.00	329	169	""	6	""	""	""	111,946	38	1.833	73.00	0.658	3	""	""	""	110	2	2	7
2016	12242	1	68	Boston U.	-	TEAM	-	-	-	1	""	2.00	""	166	""	""	""	5	""	""	0	""	4.00	1.000	""	""	""	1	""	""	""	1
2016	12242	1	68	Boston U.	-	Totals	-	-	-	37	27.00	101.00	292	166	""	2	""	""	""	123,810	24	1.047	80.00	0.769	9	""	""	1	117	1	1	13
2016	12242	1	68	Boston U.	-	Opponent Totals	-	-	-	24	21.00	69.00	231	213	""	11	""	""	""	123,810	37	1.614	102.00	0.734	4	""	""	1	111	""	""	6
2016	12242	1	71	Bowling Green	-	TEAM	-	-	-	""	""	0.00	""	157	""	""	""	5	""	""	0	""	4.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	71	Bowling Green	-	Totals	-	-	-	29	28.00	86.00	254	157	1	10	""	""	""	104,750	30	1.547	133.00	0.816	4	""	""	""	69	""	""	7
2016	12242	1	71	Bowling Green	-	Opponent Totals	-	-	-	30	25.00	85.00	387	132	""	5	""	""	""	104,750	29	1.495	85.00	0.746	5	""	""	""	110	1	2	11
2016	12242	1	80	Brown	-	TEAM	-	-	-	""	""	0.00	""	156	""	""	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	80	Brown	-	Totals	-	-	-	18	21.00	57.00	220	156	""	5	""	""	""	89,918	22	1.321	87.00	0.798	5	""	""	""	86	1	2	7
2016	12242	1	80	Brown	-	Opponent Totals	-	-	-	22	19.00	63.00	256	129	""	2	""	""	""	89,918	18	1.081	66.00	0.786	7	""	""	""	89	1	2	7
2016	12242	1	81	Bryant	-	TEAM	-	-	-	1	""	2.00	""	174	""	""	""	3	""	""	0	""	6.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	81	Bryant	-	Totals	-	-	-	11	2.00	24.00	205	174	""	8	""	""	""	106,892	37	1.869	132.00	0.781	6	""	""	""	64	1	2	5
2016	12242	1	81	Bryant	-	Opponent Totals	-	-	-	37	31.00	105.00	396	189	""	8	""	""	""	106,892	11	0.556	83.00	0.883	12	""	""	""	117	3	4	11
2016	12242	1	83	Bucknell	-	TEAM	-	-	-	""	""	0.00	""	88	""	""	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	83	Bucknell	-	Totals	-	-	-	28	22.00	78.00	291	151	1	4	""	""	""	106,477	16	0.811	92.00	0.852	11	""	""	""	91	1	1	11
2016	12242	1	83	Bucknell	-	Opponent Totals	-	-	-	16	12.00	44.00	243	157	""	9	""	""	""	106,477	28	1.420	101.00	0.783	6	""	""	1	85	""	""	5
2016	12242	1	86	Buffalo	-	TEAM	-	-	-	""	""	0.00	""	191	""	1	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	86	Buffalo	-	Totals	-	-	-	29	30.00	88.00	281	193	""	12	""	""	""	119,615	18	0.813	107.00	0.856	8	""	""	""	89	2	4	11
2016	12242	1	86	Buffalo	-	Opponent Totals	-	-	-	18	11.00	47.00	296	202	""	12	""	""	""	119,615	29	1.309	90.00	0.756	5	""	""	""	105	1	1	7
2016	12242	1	87	Butler	-	TEAM	-	-	-	""	""	0.00	""	228	""	""	""	3	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	87	Butler	-	Totals	-	-	-	37	37.00	111.00	351	228	""	7	""	""	""	132,781	23	0.935	64.00	0.736	10	""	""	""	130	2	2	16
2016	12242	1	87	Butler	-	Opponent Totals	-	-	-	23	20.00	66.00	214	263	""	18	""	""	""	132,781	37	1.505	119.00	0.763	2	""	""	""	79	1	2	7
2016	12242	1	94	CSU Bakersfield	-	TEAM	-	-	-	""	""	0.00	""	221	""	3	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	94	CSU Bakersfield	-	Totals	-	-	-	35	28.00	98.00	240	221	""	13	""	""	""	117,716	38	1.743	113.00	0.748	3	""	""	""	84	3	3	6
2016	12242	1	94	CSU Bakersfield	-	Opponent Totals	-	-	-	38	34.00	110.00	304	259	2	19	""	""	""	117,716	35	1.606	89.00	0.718	6	""	""	""	107	""	1	12
2016	12242	1	101	CSUN	-	TEAM	-	-	-	""	""	0.00	""	216	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	101	CSUN	-	Totals	-	-	-	33	25.00	91.00	270	216	1	18	""	""	""	110,640	25	1.220	71.00	0.740	7	""	""	""	78	3	3	11
2016	12242	1	101	CSUN	-	Opponent Totals	-	-	-	25	18.00	68.00	238	133	""	7	""	""	""	110,640	33	1.611	80.00	0.708	5	""	""	""	93	3	3	8
2016	12242	1	90	Cal Poly	-	TEAM	-	-	-	1	""	2.00	""	235	""	1	""	4	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	1
2016	12242	1	90	Cal Poly	-	Totals	-	-	-	26	21.00	73.00	226	235	1	25	""	""	""	109,650	24	1.182	99.00	0.805	4	""	""	""	88	2	4	6
2016	12242	1	90	Cal Poly	-	Opponent Totals	-	-	-	24	24.00	72.00	306	161	1	16	""	""	""	109,650	26	1.280	81.00	0.757	8	""	""	""	120	""	""	8
2016	12242	1	97	Cal St. Fullerton	-	TEAM	-	-	-	""	""	0.00	""	159	""	2	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	97	Cal St. Fullerton	-	Totals	-	-	-	46	49.00	141.00	292	159	""	8	""	""	""	117,621	22	1.010	101.00	0.821	8	""	""	""	87	5	6	16
2016	12242	1	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	22	23.00	67.00	267	162	3	19	""	""	""	117,621	46	2.112	109.00	0.703	2	""	""	""	89	""	""	3
2016	12242	1	107	California	-	TEAM	-	-	-	1	""	2.00	""	224	""	""	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	107	California	-	Totals	-	-	-	34	33.00	101.00	329	224	""	13	""	""	""	123,308	14	0.613	77.00	0.846	11	""	""	""	123	1	1	13
2016	12242	1	107	California	-	Opponent Totals	-	-	-	14	11.00	39.00	241	198	1	18	""	""	""	123,308	34	1.489	110.00	0.764	6	""	""	""	121	""	3	6
2016	12242	1	115	Campbell	-	TEAM	-	-	-	1	""	2.00	""	156	""	""	""	5	""	""	0	""	5.00	1.000	""	""	""	""	""	""	""	1
2016	12242	1	115	Campbell	-	Totals	-	-	-	32	39.00	103.00	262	156	""	6	""	""	""	113,779	21	0.997	90.00	0.811	8	""	""	""	76	2	2	14
2016	12242	1	115	Campbell	-	Opponent Totals	-	-	-	21	17.00	59.00	257	190	1	13	""	""	""	113,779	32	1.519	99.00	0.756	4	""	""	""	118	""	""	7
2016	12242	1	116	Canisius	-	TEAM	-	-	-	""	""	0.00	""	167	""	1	""	3	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	116	Canisius	-	Totals	-	-	-	27	20.00	74.00	207	167	""	12	""	""	""	107,588	36	1.807	122.00	0.772	5	""	""	1	64	1	1	6
2016	12242	1	116	Canisius	-	Opponent Totals	-	-	-	36	33.00	105.00	314	127	2	4	""	""	""	107,588	27	1.355	94.00	0.777	9	""	""	""	96	2	3	11
2016	12242	1	1004	Central Ark.	-	TEAM	-	-	-	""	""	0.00	""	173	""	2	""	3	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	1004	Central Ark.	-	Totals	-	-	-	29	22.00	80.00	273	182	""	5	""	""	""	112,695	28	1.342	113.00	0.801	3	""	""	1	109	1	1	7
2016	12242	1	1004	Central Ark.	-	Opponent Totals	-	-	-	28	22.00	78.00	308	173	""	5	""	""	""	112,695	29	1.390	106.00	0.785	7	""	""	""	89	""	1	11
2016	12242	1	127	Central Conn. St.	-	TEAM	-	-	-	1	""	2.00	""	171	""	""	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	127	Central Conn. St.	-	Totals	-	-	-	24	23.00	71.00	245	171	""	5	""	""	""	99,221	15	0.816	94.00	0.862	6	""	""	""	89	1	1	8
2016	12242	1	127	Central Conn. St.	-	Opponent Totals	-	-	-	15	14.00	44.00	237	132	""	7	""	""	""	99,221	24	1.306	70.00	0.745	5	""	""	""	88	1	1	5
2016	12242	1	129	Central Mich.	-	TEAM	-	-	-	""	""	0.00	""	197	""	""	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	129	Central Mich.	-	Totals	-	-	-	22	11.00	55.00	221	197	""	9	""	""	""	108,727	26	1.291	95.00	0.785	6	""	""	""	60	2	2	6
2016	12242	1	129	Central Mich.	-	Opponent Totals	-	-	-	26	16.00	68.00	268	161	""	6	""	""	""	108,727	22	1.093	78.00	0.780	7	""	""	""	77	1	1	10
2016	12242	1	48	Charleston So.	-	TEAM	-	-	-	""	""	0.00	""	148	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	48	Charleston So.	-	Totals	-	-	-	19	14.00	52.00	257	148	""	5	""	""	""	99,217	24	1.306	118.00	0.831	5	""	""	""	74	1	1	7
2016	12242	1	48	Charleston So.	-	Opponent Totals	-	-	-	24	19.00	67.00	324	116	""	3	""	""	""	99,217	19	1.034	109.00	0.852	9	""	""	""	79	2	2	9
2016	12242	1	458	Charlotte	-	TEAM	-	-	-	""	""	0.00	""	130	""	""	""	5	""	""	0	""	6.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	458	Charlotte	-	Totals	-	-	-	32	27.00	91.00	297	130	""	6	""	""	""	105,223	36	1.848	86.00	0.705	1	""	""	""	92	3	3	7
2016	12242	1	458	Charlotte	-	Opponent Totals	-	-	-	36	29.00	101.00	244	153	""	3	""	""	""	105,223	32	1.642	109.00	0.773	3	""	""	""	83	2	2	11
2016	12242	1	693	Chattanooga	-	TEAM	-	-	-	""	""	0.00	""	173	""	""	""	3	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	693	Chattanooga	-	Totals	-	-	-	19	13.00	51.00	219	173	""	9	""	""	""	108,580	35	1.741	101.00	0.743	2	""	""	""	67	1	2	4
2016	12242	1	693	Chattanooga	-	Opponent Totals	-	-	-	35	30.00	100.00	310	189	1	7	""	""	""	108,580	19	0.945	83.00	0.814	9	""	""	""	87	1	2	12
2016	12242	1	136	Chicago St.	-	TEAM	-	-	-	""	""	0.00	""	120	""	""	""	4	""	""	0	""	5.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	136	Chicago St.	-	Totals	-	-	-	5	3.00	13.00	77	120	1	3	""	""	""	102,600	105	5.526	237.00	0.693	""	""	""	""	15	2	2	""
2016	12242	1	136	Chicago St.	-	Opponent Totals	-	-	-	105	89.00	299.00	566	194	""	6	""	""	""	102,600	5	0.263	42.00	0.894	14	""	""	""	150	3	4	19
2016	12242	1	140	Cincinnati	-	TEAM	-	-	-	""	""	0.00	""	231	""	1	""	3	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	140	Cincinnati	-	Totals	-	-	-	33	33.00	99.00	369	231	1	14	""	""	""	136,040	22	0.873	95.00	0.812	12	""	""	""	134	1	1	13
2016	12242	1	140	Cincinnati	-	Opponent Totals	-	-	-	22	16.00	60.00	266	257	""	19	""	""	""	136,040	33	1.310	130.00	0.798	6	""	""	""	89	2	2	6
2016	12242	1	147	Clemson	-	TEAM	-	-	-	1	""	2.00	""	173	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	147	Clemson	-	Totals	-	-	-	34	29.00	97.00	302	173	""	19	""	""	""	112,591	20	0.959	63.00	0.759	8	""	""	""	105	1	1	14
2016	12242	1	147	Clemson	-	Opponent Totals	-	-	-	20	22.00	62.00	209	179	""	17	""	""	""	112,591	34	1.631	84.00	0.712	4	""	""	""	76	1	1	4
2016	12242	1	148	Cleveland St.	-	TEAM	-	-	-	""	""	0.00	""	121	""	1	""	3	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	148	Cleveland St.	-	Totals	-	-	-	24	20.00	68.00	217	130	""	7	""	""	""	105,620	24	1.227	98.00	0.803	5	""	""	""	79	1	1	8
2016	12242	1	148	Cleveland St.	-	Opponent Totals	-	-	-	24	20.00	68.00	278	121	""	4	""	""	""	105,620	24	1.227	75.00	0.758	8	""	""	1	82	3	3	10
2016	12242	1	149	Coastal Caro.	-	TEAM	-	-	-	""	""	0.00	""	170	""	1	""	3	""	""	0	""	4.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	149	Coastal Caro.	-	Totals	-	-	-	39	30.00	108.00	260	170	""	5	""	""	""	110,550	23	1.123	99.00	0.811	4	""	""	""	96	2	2	12
2016	12242	1	149	Coastal Caro.	-	Opponent Totals	-	-	-	23	17.00	63.00	256	152	""	4	""	""	""	110,550	39	1.905	88.00	0.693	5	""	""	""	94	""	""	7
2016	12242	1	1014	Col. of Charleston	-	TEAM	-	-	-	""	""	0.00	""	128	""	1	""	4	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	1014	Col. of Charleston	-	Totals	-	-	-	21	16.00	58.00	225	128	""	5	""	""	""	98,707	23	1.258	90.00	0.796	6	""	""	""	57	1	1	8
