BEGIN
SET
    date    | site |         team         | div | t_score |         opp          | div | o_score 
 2015-10-18 | home | Fairleigh Dickinson  | D1  |     3.6 | Wagner               | D1  |     0.7
 2015-10-15 | home | Fairmont St.         | D2  |     0.3 | West Va. Wesleyan    | D2  |     1.6
 2015-10-18 | home | Fairmont St.         | D2  |     0.9 | Concord              | D2  |     1.5
 2015-10-13 | home | Farmingdale St.      | D3  |     2.0 | St. Joseph's (L.I.)  | D3  |     0.8
 2015-10-18 | home | Farmingdale St.      | D3  |     1.3 | Skidmore             | D3  |     0.6
 2015-10-13 | home | FDU-Florham          | D3  |     1.5 | King's (PA)          | D3  |     1.0
 2015-10-15 | home | FDU-Florham          | D3  |    13.9 | St. Elizabeth        | D3  |     0.3
 2015-10-16 | home | FDU-Florham          | D3  |     2.3 | Delaware Valley      | D3  |     0.8
 2015-10-16 | home | Ferris St.           | D2  |     1.8 | Northern Mich.       | D2  |     0.7
 2015-10-18 | home | Ferris St.           | D2  |     1.1 | Michigan Tech        | D2  |     0.9
 2015-10-14 | home | Ferrum               | D3  |     2.7 | Averett              | D3  |     0.8
 2015-10-17 | home | Ferrum               | D3  |     2.1 | Greensboro           | D3  |     1.3
 2015-10-13 | home | Finlandia            | D3  |     0.6 | Northland            | D3  |     6.9
 2015-10-13 | home | Flagler              | D2  |     1.1 | Columbus St.         | D2  |     1.8
 2015-10-17 | home | Flagler              | D2  |     2.1 | Lander               | D2  |     1.1
 2015-10-17 | home | Fla. Southern        | D2  |     0.6 | Florida Tech         | D2  |     1.1
 2015-10-14 | home | Florida Tech         | D2  |     1.8 | Nova Southeastern    | D2  |     0.9
 2015-10-13 | home | Fontbonne            | D3  |     2.0 | Blackburn            | D3  |     0.9
 2015-10-17 | home | Fontbonne            | D3  |     1.2 | Spalding             | D3  |     1.7
 2015-10-15 | home | Fordham              | D1  |     1.3 | Saint Louis          | D1  |     1.0
 2015-10-14 | home | Framingham St.       | D3  |     0.4 | Wentworth            | D3  |     1.7
 2015-10-17 | home | Framingham St.       | D3  |     0.9 | Salem St.            | D3  |     0.7
 2015-10-17 | home | Franciscan           | D3  |     2.4 | Hilbert              | D3  |     0.9
 2015-10-17 | home | Franklin             | D3  |     6.8 | Bluffton             | D3  |     0.9
 2015-10-14 | home | Franklin Pierce      | D2  |     2.1 | St. Anselm           | D2  |     1.3
 2015-10-17 | home | Frank. & Marsh.      | D3  |     0.9 | Muhlenberg           | D3  |     0.9
 2015-10-16 | home | Fredonia             | D3  |     1.0 | Plattsburgh St.      | D3  |     1.9
 2015-10-17 | home | Fredonia             | D3  |     1.0 | SUNY Potsdam         | D3  |     1.4
 2015-10-17 | home | Fresno Pacific       | D2  |     0.4 | Azusa Pacific        | D2  |     1.8
 2015-10-16 | home | Furman               | D1  |     1.7 | ETSU                 | D1  |     1.1
 2015-10-18 | home | Furman               | D1  |     1.0 | Western Caro.        | D1  |     0.7
 2015-10-13 | home | Gannon               | D2  |     2.0 | Edinboro             | D2  |     0.9
 2015-10-17 | home | Gannon               | D2  |     2.5 | Roberts Wesleyan     | D2  |     1.2
 2015-10-16 | home | Ga. Southern         | D1  |     1.2 | Troy                 | D1  |     1.9
 2015-10-18 | home | Ga. Southern         | D1  |     1.4 | South Ala.           | D1  |     2.6
 2015-10-14 | home | Ga. Southwestern     | D2  |     0.8 | Montevallo           | D2  |     1.2
 2015-10-17 | home | Ga. Southwestern     | D2  |     0.8 | Young Harris         | D2  |     5.6
 2015-10-14 | home | Geneva               | D3  |     1.8 | Chatham              | D3  |     1.8
 2015-10-17 | home | George Fox           | D3  |     1.3 | Whitworth            | D3  |     1.4
 2015-10-18 | home | George Fox           | D3  |     1.3 | Whitman              | D3  |     1.1
 2015-10-14 | home | Georgetown           | D1  |     2.6 | Xavier               | D1  |     0.8
 2015-10-18 | home | Georgetown           | D1  |     2.2 | Marquette            | D1  |     1.1
 2015-10-16 | home | Georgia              | D1  |     1.3 | Alabama              | D1  |     0.8
 2015-10-17 | home | Georgia College      | D2  |     1.0 | Armstrong            | D2  |     1.4
 2015-10-17 | home | Georgian Court       | D2  |     5.2 | Concordia (NY)       | D2  |     0.3
 2015-10-16 | home | Georgia St.          | D1  |     1.0 | South Ala.           | D1  |     2.2
 2015-10-18 | home | Georgia St.          | D1  |     0.9 | Troy                 | D1  |     1.6
 2015-10-12 | home | Goldey-Beacom        | D2  |     4.0 | Nyack                | D2  |     0.8
 2015-10-14 | home | Goldey-Beacom        | D2  |     5.4 | Lincoln (PA)         | D2  |     0.9
 2015-10-17 | home | Goldey-Beacom        | D2  |     3.3 | Dominican (NY)       | D2  |     0.7
 2015-10-17 | home | Gonzaga              | D1  |     0.6 | San Francisco        | D1  |     1.1
